,Content,Content,Nonsemantic,Nonsemantic,Function,Function
,precision,recall,precision,recall,precision,recall
,,,,,,
Basque,0.5924689544665509,0.5924689544665509,0.6380220835333653,0.6380220835333653,0.8044217687074829,0.8044217687074829
Bulgarian,0.7770818505338078,0.7770818505338078,0.8140625,0.8140625,0.9229952203929899,0.9229952203929899
Croatian,0.7376830892143809,0.7376830892143809,0.7168284789644013,0.7168284789644013,0.829308909242298,0.829308909242298
Czech,0.7927174047628874,0.7927174047628874,0.7066815790563771,0.7066815790563771,0.8861188057863958,0.8861188057863958
Danish,0.7809694793536804,0.7809694793536804,0.6278195488721805,0.6278195488721805,0.876844130853111,0.876844130853111
English,0.8052061368428707,0.8052061368428707,0.76274328081557,0.76274328081557,0.9215632310444475,0.9215632310444475
Finnish,0.6063429492922415,0.6063429492922415,0.7327586206896551,0.7327586206896551,0.7514492753623189,0.7514492753623189
Finnish-FTB,0.7527271060592171,0.7527271060592171,0.9196936972314942,0.9196936972314942,0.8125584002990095,0.8125584002990095
French,0.7745350962055251,0.7745350962055251,0.6295081967213115,0.6295081967213115,0.9210060915700531,0.9210060915700531
German,0.7021799201719373,0.7021799201719373,0.6882245271507016,0.6882245271507016,0.8861807856128727,0.8861807856128727
Greek,0.6885714285714286,0.6885714285714286,0.5498442367601246,0.5498442367601246,0.8926422952336881,0.8926422952336881
Hebrew,0.6890114552397115,0.6890114552397115,0.6275033377837116,0.6275033377837116,0.8904899135446686,0.8904899135446686
Hungarian,0.5546605293440736,0.5546605293440736,0.6222222222222222,0.6222222222222222,0.8709677419354839,0.8709677419354839
Indonesian,0.7300135919930805,0.7300135919930805,0.6365877712031558,0.6365877712031558,0.8538739462063428,0.8538739462063428
Irish,0.6053299492385786,0.6053299492385786,0.7635327635327636,0.7635327635327636,0.8807134894091416,0.8807134894091416
Italian,0.772618829142962,0.772618829142962,0.7410649161196207,0.7410649161196207,0.9581858407079646,0.9581858407079646
Persian,0.7403254478326269,0.7403254478326269,0.7766179540709812,0.7766179540709812,0.8848320937570431,0.8848320937570431
Spanish,0.7525757802000896,0.7525757802000896,0.671259418729817,0.671259418729817,0.9270290394638868,0.9270290394638868
Swedish,0.7048180924287119,0.7048180924287119,0.6220145379023884,0.6220145379023884,0.8142026323844506,0.8142026323844506
