Basque,0.19724924521972492
Bulgarian,0.29627881362599323
Croatian,0.24901513580758863
Czech,0.20824544221786953
Danish,0.2666780704755388
English,0.2898043581994592
Finnish,0.15118436851872066
Finnish-FTB,0.16739110330158144
French,0.39289206855731124
German,0.3413846029566201
Greek,0.3578407021029972
Hebrew,0.3408403062132811
Hungarian,0.2236798950475566
Indonesian,0.19751030764351413
Irish,0.3147914032869785
Italian,0.39753920804089765
Persian,0.28056782334384855
Spanish,0.3860212220651992
Swedish,0.3334694294171685
