,Nonsemantic,Nonsemantic,Content,Content,Function,Function
,precision,recall,precision,recall,precision,recall
,,,,,,
Czech,0.8104971548367775,0.8104971548367775,0.8612586009445659,0.8612586009445659,0.8025917437682144,0.8025917437682144
English,0.7889337892446379,0.7889337892446379,0.8317391304347826,0.8317391304347826,0.9335002782415136,0.9335002782415136
Finnish,0.8278628738147338,0.8278628738147338,0.8375848779592586,0.8375848779592586,0.8845867460908414,0.8845867460908414
French,0.6846846846846847,0.6846846846846847,0.7839301835690641,0.7839301835690641,0.8783437156467571,0.8783437156467571
German,0.6976358357527996,0.6976358357527996,0.7442348008385744,0.7442348008385744,0.9107270135424091,0.9107270135424091
Hungarian,0.47073170731707314,0.47073170731707314,0.6822857142857143,0.6822857142857143,0.8904347826086957,0.8904347826086957
Irish,0.798469387755102,0.798469387755102,0.6330128205128205,0.6330128205128205,0.8709677419354839,0.8709677419354839
Italian,0.018633540372670808,0.018633540372670808,0.03131052291801162,0.03131052291801162,0.0718232044198895,0.0718232044198895
Spanish,0.7407002188183808,0.7407002188183808,0.7899244332493702,0.7899244332493702,0.9281899109792285,0.9281899109792285
Swedish,0.7535680304471931,0.7535680304471931,0.7889493589152292,0.7889493589152292,0.8870481927710844,0.8870481927710844
